time,P,I,D,ds,left speed,right speed
1,4630.000000,0.000000,0.000000,2480.000000,2480.000000,2480.000000
2,2260.000000,0.000001,-0.000000,4440.000001,4440.000001,4440.000001
3,1530.000000,0.000001,-0.000000,1820.000001,1820.000001,1820.000001
4,3650.000000,0.000002,0.000000,2930.000001,2930.000001,2930.000001
5,4810.000000,0.000002,0.000000,1480.000002,1480.000002,1480.000002
6,-360.000000,0.000002,-0.000000,3530.000002,3530.000002,3530.000002
7,1950.000000,0.000002,0.000000,1820.000002,1820.000002,1820.000002
8,5420.000000,0.000003,0.000000,4160.000003,4160.000003,4160.000003
9,5160.000000,0.000003,0.000000,2370.000003,2370.000003,2370.000003
10,3060.000000,0.000004,0.000000,2670.000004,2670.000004,2670.000004
11,2880.000000,0.000004,-0.000000,5010.000004,5010.000004,5010.000004
12,600.000000,0.000005,-0.000000,4340.000005,4340.000005,4340.000005
13,950.000000,0.000005,-0.000000,4140.000005,4140.000005,4140.000005
14,1930.000000,0.000005,-0.000000,3700.000005,3700.000005,3700.000005
15,5500.000000,0.000006,0.000000,3360.000006,3360.000006,3360.000006
16,3050.000000,0.000006,0.000000,-149.999994,-149.999994,-149.999994
17,4810.000000,0.000007,0.000000,2460.000006,2460.000006,2460.000006
18,2710.000000,0.000007,-0.000000,3100.000007,3100.000007,3100.000007
19,3520.000000,0.000007,-0.000000,3790.000007,3790.000007,3790.000007
20,2090.000000,0.000008,-0.000000,3400.000008,3400.000008,3400.000008
21,1520.000000,0.000008,-0.000000,2220.000008,2220.000008,2220.000008
22,6850.000000,0.000009,0.000000,6810.000008,6810.000008,6810.000008
23,2740.000000,0.000009,-0.000000,3660.000009,3660.000009,3660.000009
24,4490.000000,0.000010,0.000000,1250.000009,1250.000009,1250.000009
25,4130.000000,0.000010,0.000000,2830.000010,2830.000010,2830.000010
26,2560.000000,0.000011,-0.000000,4720.000010,4720.000010,4720.000010
27,1940.000000,0.000011,-0.000000,6170.000011,6170.000011,6170.000011
28,4320.000000,0.000012,0.000000,4100.000011,4100.000011,4100.000011
29,1760.000000,0.000012,-0.000000,5620.000012,5620.000012,5620.000012
30,5520.000000,0.000013,0.000000,1560.000012,1560.000012,1560.000012
31,4600.000000,0.000013,-0.000000,4920.000013,4920.000013,4920.000013
32,1970.000000,0.000014,-0.000000,4140.000013,4140.000013,4140.000013
33,2240.000000,0.000014,-0.000000,2510.000014,2510.000014,2510.000014
34,3200.000000,0.000014,-0.000000,3610.000014,3610.000014,3610.000014
35,2950.000000,0.000015,0.000000,1150.000014,1150.000014,1150.000014
36,5110.000000,0.000015,0.000000,1440.000015,1440.000015,1440.000015
37,3940.000000,0.000015,0.000000,2000.000015,2000.000015,2000.000015
38,5960.000000,0.000016,0.000000,1860.000015,1860.000015,1860.000015
